,№ п/п,KKS-код сигнала,Наименование параметра (механизма),Наименование сигнала,Участие в задачах,Примечание
0,1,N1NDB01AA001XB51,"Затвор дисковый Т-1 тепловывод ""A""",Не открыто,ДУ,
388,2,,,,,
1,2,N1NDB01AA001XB52,"Затвор дисковый Т-1 тепловывод ""A""",Не закрыто,ДУ,
2,3,N1NDB01AA001XB05,"Затвор дисковый Т-1 тепловывод ""A""",превышение момента на открытие,ДУ,
3,4,N1NDB01AA001XB06,"Затвор дисковый Т-1 тепловывод ""A""",превышение момента на закрытие,ДУ,
4,5,N1NDB01AA001XL01,"Затвор дисковый Т-1 тепловывод ""A""",Дистанционный режим работы,ДУ,
5,8,отключен,"Затвор дисковый Т-1 тепловывод ""A""",Автоматический выключатель,ПС,
6,9,N1NDB02AA001XB51,"Затвор дисковый Т-2 тепловывод ""B""",Не открыто,ДУ,
7,10,N1NDB02AA001XB52,"Затвор дисковый Т-2 тепловывод ""B""",Не закрыто,ДУ,
8,11,N1NDB02AA001XB05,"Затвор дисковый Т-2 тепловывод ""B""",превышение момента на открытие,ДУ,
9,12,N1NDB02AA001XB06,"Затвор дисковый Т-2 тепловывод ""B""",превышение момента на закрытие,ДУ,
10,13,N1NDB02AA001XL01,"Затвор дисковый Т-2 тепловывод ""B""",Дистанционный режим работы,ДУ,
11,16,отключен,"Затвор дисковый Т-2 тепловывод ""B""",Автоматический выключатель,ПС,
12,17,N1NDB03AA001XB51,"Затвор дисковый Т-3 тепловывод ""C""",Не открыто,ДУ,
13,18,N1NDB03AA001XB52,"Затвор дисковый Т-3 тепловывод ""C""",Не закрыто,ДУ,
14,19,N1NDB03AA001XB05,"Затвор дисковый Т-3 тепловывод ""C""",превышение момента на открытие,ДУ,
15,20,N1NDB03AA001XB06,"Затвор дисковый Т-3 тепловывод ""C""",превышение момента на закрытие,ДУ,
16,21,N1NDB03AA001XL01,"Затвор дисковый Т-3 тепловывод ""C""",Дистанционный режим работы,ДУ,
17,24,отключен,"Затвор дисковый Т-3 тепловывод ""C""",Автоматический выключатель,ПС,
18,25,Не открыто,Затвор дисковый Т-4 на подаче,N1NDB10AA001,ДУ,
19,26,Не закрыто,Затвор дисковый Т-4 на подаче,N1NDB10AA001,ДУ,
20,27,превышение момента на открытие,Затвор дисковый Т-4 на подаче,N1NDB10AA001,ДУ,
21,28,превышение момента на закрытие,Затвор дисковый Т-4 на подаче,N1NDB10AA001,ДУ,
22,29,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-4 на подаче,N1NDB10AA001,ДУ,
23,30,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-4 на подаче,N1NDB10AA001,ДУ,
24,31,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-4 на подаче,N1NDB10AA001,ДУ,
25,32,Автоматический выключатель,Затвор дисковый Т-4 на подаче,N1NDB10AA001,ПС,
26,33,Не открыто,Затвор дисковый Т-5 на выходе,N1NDB10AA002,ДУ,
27,34,Не закрыто,Затвор дисковый Т-5 на выходе,N1NDB10AA002,ДУ,
28,35,превышение момента на открытие,Затвор дисковый Т-5 на выходе,N1NDB10AA002,ДУ,
29,36,превышение момента на закрытие,Затвор дисковый Т-5 на выходе,N1NDB10AA002,ДУ,
30,37,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-5 на выходе,N1NDB10AA002,ДУ,
31,38,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-5 на выходе,N1NDB10AA002,ДУ,
32,39,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-5 на выходе,N1NDB10AA002,ДУ,
33,40,Автоматический выключатель,Затвор дисковый Т-5 на выходе,N1NDB10AA002,ПС,
34,41,Не открыто,Затвор дисковый Т-6 на трубопроводе,N1NDB10AA003,ДУ,
35,42,Не закрыто,Затвор дисковый Т-6 на трубопроводе,N1NDB10AA003,ДУ,
36,43,превышение момента на открытие,Затвор дисковый Т-6 на трубопроводе,N1NDB10AA003,ДУ,
37,44,превышение момента на закрытие,Затвор дисковый Т-6 на трубопроводе,N1NDB10AA003,ДУ,
38,45,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-6 на трубопроводе,N1NDB10AA003,ДУ,
39,46,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-6 на трубопроводе,N1NDB10AA003,ДУ,
40,47,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-6 на трубопроводе,N1NDB10AA003,ДУ,
41,48,Автоматический выключатель,Затвор дисковый Т-6 на трубопроводе,N1NDB10AA003,ПС,
42,49,N1NDB10AA004,Затвор дисковый Т-7 на отключение,воде,ДУ,
43,50,N1NDB10AA004,Затвор дисковый Т-7 на отключение,воде,ДУ,
44,51,N1NDB10AA004,Затвор дисковый Т-7 на отключение,воде,ДУ,
45,52,N1NDB10AA004,Затвор дисковый Т-7 на отключение,воде,ДУ,
46,53,N1NDB10AA004,Затвор дисковый Т-7 на отключение,воде,ДУ,
47,54,N1NDB10AA004,Затвор дисковый Т-7 на отключение,воде,ДУ,
48,55,N1NDB10AA004,Затвор дисковый Т-7 на отключение,воде,ДУ,
49,56,N1NDB10AA004,Затвор дисковый Т-7 на отключение,воде,ПС,
50,57,Не открыто,Регулирующий клапан РД-80 на линии,N1NDK10AA801,ДУ,
51,58,Не закрыто,Регулирующий клапан РД-80 на линии,N1NDK10AA801,ДУ,
52,59,превышение момента,Регулирующий клапан РД-80 на линии,N1NDK10AA801,ДУ,
53,60,Неисправность,Регулирующий клапан РД-80 на линии,N1NDK10AA801,ДУ,
54,61,Готовность,Регулирующий клапан РД-80 на линии,N1NDK10AA801,ДУ,
55,62,Автоматический выключатель,Регулирующий клапан РД-80 на линии,N1NDK10AA801,ПС,
56,63,Не открыто,Затвор дисковый С-71 на линии,N1NDK10AA001,ДУ,
57,64,Не закрыто,Затвор дисковый С-71 на линии,N1NDK10AA001,ДУ,
58,65,превышение момента на открытие,Затвор дисковый С-71 на линии,N1NDK10AA001,ДУ,
59,66,превышение момента на закрытие,Затвор дисковый С-71 на линии,N1NDK10AA001,ДУ,
60,67,"сигнал ""Открыть"" от УКП",Затвор дисковый С-71 на линии,N1NDK10AA001,ДУ,
61,68,"сигнал ""Закрыть"" от УКП",Затвор дисковый С-71 на линии,N1NDK10AA001,ДУ,
62,69,"сигнал ""Стоп"" от УКП",Затвор дисковый С-71 на линии,N1NDK10AA001,ДУ,
63,70,Автоматический выключатель,Затвор дисковый С-71 на линии,N1NDK10AA001,ПС,
64,71,Не открыто,Регулирующий клапан РД-79,N1GAD11AA801,ДУ,
65,72,Не закрыто,Регулирующий клапан РД-79,N1GAD11AA801,ДУ,
66,73,превышение момента,Регулирующий клапан РД-79,N1GAD11AA801,ДУ,
67,74,Неисправность,Регулирующий клапан РД-79,N1GAD11AA801,ДУ,
68,75,Готовность,Регулирующий клапан РД-79,N1GAD11AA801,ДУ,
69,76,Автоматический выключатель,Регулирующий клапан РД-79,N1GAD11AA801,ПС,
70,77,Не открыто,Регулирующий клапан РД-75 от,N1NDE10AA802,ДУ,
71,78,Не закрыто,Регулирующий клапан РД-75 от,N1NDE10AA802,ДУ,
72,79,превышение момента,Регулирующий клапан РД-75 от,N1NDE10AA802,ДУ,
73,80,Неисправность,Регулирующий клапан РД-75 от,N1NDE10AA802,ДУ,
74,81,Готовность,Регулирующий клапан РД-75 от,N1NDE10AA802,ДУ,
75,82,Автоматический выключатель,Регулирующий клапан РД-75 от,N1NDE10AA802,ПС,
76,83,Не открыто,Затвор дисковый С-10 от,N1NDE10AA002,ДУ,
77,84,Не закрыто,Затвор дисковый С-10 от,N1NDE10AA002,ДУ,
78,85,превышение момента на открытие,Затвор дисковый С-10 от,N1NDE10AA002,ДУ,
79,86,превышение момента на закрытие,Затвор дисковый С-10 от,N1NDE10AA002,ДУ,
80,87,"сигнал ""Открыть"" от УКП",Затвор дисковый С-10 от,N1NDE10AA002,ДУ,
81,88,"сигнал ""Закрыть"" от УКП",Затвор дисковый С-10 от,N1NDE10AA002,ДУ,
82,89,"сигнал ""Стоп"" от УКП",Затвор дисковый С-10 от,N1NDE10AA002,ДУ,
83,90,Автоматический выключатель,Затвор дисковый С-10 от,N1NDE10AA002,ПС,
84,91,Не открыто,Затвор дисковый Т-8 на входе,N1NDB11AA001,ДУ,
85,92,Не закрыто,Затвор дисковый Т-8 на входе,N1NDB11AA001,ДУ,
86,93,превышение момента на открытие,Затвор дисковый Т-8 на входе,N1NDB11AA001,ДУ,
87,94,превышение момента на закрытие,Затвор дисковый Т-8 на входе,N1NDB11AA001,ДУ,
88,95,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-8 на входе,N1NDB11AA001,ДУ,
89,96,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-8 на входе,N1NDB11AA001,ДУ,
90,97,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-8 на входе,N1NDB11AA001,ДУ,
91,98,Автоматический выключатель,Затвор дисковый Т-8 на входе,N1NDB11AA001,ПС,
92,99,Не открыто,Затвор дисковый Т-9 на входе,N1NDB12AA001,ДУ,
93,100,Не закрыто,Затвор дисковый Т-9 на входе,N1NDB12AA001,ДУ,
94,101,превышение момента на открытие,Затвор дисковый Т-9 на входе,N1NDB12AA001,ДУ,
95,102,превышение момента на закрытие,Затвор дисковый Т-9 на входе,N1NDB12AA001,ДУ,
96,103,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-9 на входе,N1NDB12AA001,ДУ,
97,104,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-9 на входе,N1NDB12AA001,ДУ,
98,105,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-9 на входе,N1NDB12AA001,ДУ,
99,106,Автоматический выключатель,Затвор дисковый Т-9 на входе,N1NDB12AA001,ПС,
100,107,Не открыто,Затвор дисковый Т-18 на выходе,N1NDB11AA002,ДУ,
101,108,Не закрыто,Затвор дисковый Т-18 на выходе,N1NDB11AA002,ДУ,
102,109,превышение момента на открытие,Затвор дисковый Т-18 на выходе,N1NDB11AA002,ДУ,
103,110,превышение момента на закрытие,Затвор дисковый Т-18 на выходе,N1NDB11AA002,ДУ,
104,111,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-18 на выходе,N1NDB11AA002,ДУ,
105,112,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-18 на выходе,N1NDB11AA002,ДУ,
106,113,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-18 на выходе,N1NDB11AA002,ДУ,
107,114,Автоматический выключатель,Затвор дисковый Т-18 на выходе,N1NDB11AA002,ПС,
108,115,Не открыто,Затвор дисковый Т-19 на выходе,N1NDB12AA002,ДУ,
109,116,Не закрыто,Затвор дисковый Т-19 на выходе,N1NDB12AA002,ДУ,
110,117,превышение момента на открытие,Затвор дисковый Т-19 на выходе,N1NDB12AA002,ДУ,
111,118,превышение момента на закрытие,Затвор дисковый Т-19 на выходе,N1NDB12AA002,ДУ,
112,119,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-19 на выходе,N1NDB12AA002,ДУ,
113,120,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-19 на выходе,N1NDB12AA002,ДУ,
114,121,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-19 на выходе,N1NDB12AA002,ДУ,
115,122,Автоматический выключатель,Затвор дисковый Т-19 на выходе,N1NDB12AA002,ПС,
116,123,N1NDC01AA001XB51,Затвор дисковый Т-10 на всасе СН №1,Не открыто,ДУ,
117,124,N1NDC01AA001XB52,Затвор дисковый Т-10 на всасе СН №1,Не закрыто,ДУ,
118,125,N1NDC01AA001XB05,Затвор дисковый Т-10 на всасе СН №1,превышение момента на открытие,ДУ,
119,126,N1NDC01AA001XB06,Затвор дисковый Т-10 на всасе СН №1,превышение момента на закрытие,ДУ,
120,127,N1NDC01AA001XL01,Затвор дисковый Т-10 на всасе СН №1,Дистанционный режим работы,ДУ,
121,130,отключен,Затвор дисковый Т-10 на всасе СН №1,Автоматический выключатель,ПС,
122,131,Не открыто,Затвор дисковый Т-11 на напоре СН,N1NDC01AA002,ДУ,
123,132,Не закрыто,Затвор дисковый Т-11 на напоре СН,N1NDC01AA002,ДУ,
124,133,превышение момента на открытие,Затвор дисковый Т-11 на напоре СН,N1NDC01AA002,ДУ,
125,134,превышение момента на закрытие,Затвор дисковый Т-11 на напоре СН,N1NDC01AA002,ДУ,
126,135,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-11 на напоре СН,N1NDC01AA002,ДУ,
127,136,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-11 на напоре СН,N1NDC01AA002,ДУ,
128,137,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-11 на напоре СН,N1NDC01AA002,ДУ,
129,138,Автоматический выключатель,Затвор дисковый Т-11 на напоре СН,N1NDC01AA002,ПС,
130,139,N1NDC02AA001XB51,Затвор дисковый Т-12 на всасе СН №2,Не открыто,ДУ,
131,140,N1NDC02AA001XB52,Затвор дисковый Т-12 на всасе СН №2,Не закрыто,ДУ,
132,141,N1NDC02AA001XB05,Затвор дисковый Т-12 на всасе СН №2,превышение момента на открытие,ДУ,
133,142,N1NDC02AA001XB06,Затвор дисковый Т-12 на всасе СН №2,превышение момента на закрытие,ДУ,
134,143,N1NDC02AA001XL01,Затвор дисковый Т-12 на всасе СН №2,Дистанционный режим работы,ДУ,
135,146,отключен,Затвор дисковый Т-12 на всасе СН №2,Автоматический выключатель,ПС,
136,147,Не открыто,Затвор дисковый Т-13 на напоре СН,N1NDC02AA002,ДУ,
137,148,Не закрыто,Затвор дисковый Т-13 на напоре СН,N1NDC02AA002,ДУ,
138,149,превышение момента на открытие,Затвор дисковый Т-13 на напоре СН,N1NDC02AA002,ДУ,
139,150,превышение момента на закрытие,Затвор дисковый Т-13 на напоре СН,N1NDC02AA002,ДУ,
140,151,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-13 на напоре СН,N1NDC02AA002,ДУ,
141,152,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-13 на напоре СН,N1NDC02AA002,ДУ,
142,153,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-13 на напоре СН,N1NDC02AA002,ДУ,
143,154,Автоматический выключатель,Затвор дисковый Т-13 на напоре СН,N1NDC02AA002,ПС,
144,155,N1NDC03AA001XB51,Затвор дисковый Т-14 на всасе СН №3,Не открыто,ДУ,
145,156,N1NDC03AA001XB52,Затвор дисковый Т-14 на всасе СН №3,Не закрыто,ДУ,
146,157,N1NDC03AA001XB05,Затвор дисковый Т-14 на всасе СН №3,превышение момента на открытие,ДУ,
147,158,N1NDC03AA001XB06,Затвор дисковый Т-14 на всасе СН №3,превышение момента на закрытие,ДУ,
148,159,N1NDC03AA001XL01,Затвор дисковый Т-14 на всасе СН №3,Дистанционный режим работы,ДУ,
149,162,отключен,Затвор дисковый Т-14 на всасе СН №3,Автоматический выключатель,ПС,
150,163,Не открыто,Затвор дисковый Т-15 на напоре СН,N1NDC03AA002,ДУ,
151,164,Не закрыто,Затвор дисковый Т-15 на напоре СН,N1NDC03AA002,ДУ,
152,165,превышение момента на открытие,Затвор дисковый Т-15 на напоре СН,N1NDC03AA002,ДУ,
153,166,превышение момента на закрытие,Затвор дисковый Т-15 на напоре СН,N1NDC03AA002,ДУ,
154,167,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-15 на напоре СН,N1NDC03AA002,ДУ,
155,168,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-15 на напоре СН,N1NDC03AA002,ДУ,
156,169,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-15 на напоре СН,N1NDC03AA002,ДУ,
157,170,Автоматический выключатель,Затвор дисковый Т-15 на напоре СН,N1NDC03AA002,ПС,
158,171,N1NDC04AA001XB51,Затвор дисковый Т-16 на всасе СН №4,Не открыто,ДУ,
159,172,N1NDC04AA001XB52,Затвор дисковый Т-16 на всасе СН №4,Не закрыто,ДУ,
160,173,N1NDC04AA001XB05,Затвор дисковый Т-16 на всасе СН №4,превышение момента на открытие,ДУ,
161,174,N1NDC04AA001XB06,Затвор дисковый Т-16 на всасе СН №4,превышение момента на закрытие,ДУ,
162,175,N1NDC04AA001XL01,Затвор дисковый Т-16 на всасе СН №4,Дистанционный режим работы,ДУ,
163,178,отключен,Затвор дисковый Т-16 на всасе СН №4,Автоматический выключатель,ПС,
164,179,Не открыто,Затвор дисковый Т-17 на напоре СН,N1NDC04AA002,ДУ,
165,180,Не закрыто,Затвор дисковый Т-17 на напоре СН,N1NDC04AA002,ДУ,
166,181,превышение момента на открытие,Затвор дисковый Т-17 на напоре СН,N1NDC04AA002,ДУ,
167,182,превышение момента на закрытие,Затвор дисковый Т-17 на напоре СН,N1NDC04AA002,ДУ,
168,183,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-17 на напоре СН,N1NDC04AA002,ДУ,
169,184,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-17 на напоре СН,N1NDC04AA002,ДУ,
170,185,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-17 на напоре СН,N1NDC04AA002,ДУ,
171,186,Автоматический выключатель,Затвор дисковый Т-17 на напоре СН,N1NDC04AA002,ПС,
172,187,N1NDB20AA001,Затвор дисковый секционирующий Т-,теплообменники,ДУ,
173,188,N1NDB20AA001,Затвор дисковый секционирующий Т-,теплообменники,ДУ,
174,189,N1NDB20AA001,Затвор дисковый секционирующий Т-,теплообменники,ДУ,
175,190,N1NDB20AA001,Затвор дисковый секционирующий Т-,теплообменники,ДУ,
176,191,N1NDB20AA001,Затвор дисковый секционирующий Т-,теплообменники,ДУ,
177,192,N1NDB20AA001,Затвор дисковый секционирующий Т-,теплообменники,ДУ,
178,193,N1NDB20AA001,Затвор дисковый секционирующий Т-,теплообменники,ДУ,
179,194,N1NDB20AA001,Затвор дисковый секционирующий Т-,теплообменники,ПС,
180,195,Не открыто,Регулирующий клапан РДТА-1 на,N1NDB21AA801,ДУ,
181,196,Не закрыто,Регулирующий клапан РДТА-1 на,N1NDB21AA801,ДУ,
182,197,превышение момента,Регулирующий клапан РДТА-1 на,N1NDB21AA801,ДУ,
183,198,Неисправность,Регулирующий клапан РДТА-1 на,N1NDB21AA801,ДУ,
184,199,Готовность,Регулирующий клапан РДТА-1 на,N1NDB21AA801,ДУ,
185,200,Автоматический выключатель,Регулирующий клапан РДТА-1 на,N1NDB21AA801,ПС,
186,201,Не открыто,Регулирующий клапан РДТА-2 на,N1NDB22AA801,ДУ,
187,202,Не закрыто,Регулирующий клапан РДТА-2 на,N1NDB22AA801,ДУ,
188,203,превышение момента,Регулирующий клапан РДТА-2 на,N1NDB22AA801,ДУ,
189,204,Неисправность,Регулирующий клапан РДТА-2 на,N1NDB22AA801,ДУ,
190,205,Готовность,Регулирующий клапан РДТА-2 на,N1NDB22AA801,ДУ,
191,206,Автоматический выключатель,Регулирующий клапан РДТА-2 на,N1NDB22AA801,ПС,
192,207,Не открыто,Затвор дисковый 3ТА-0 помимо,N1NDB23AA001,ДУ,
193,208,Не закрыто,Затвор дисковый 3ТА-0 помимо,N1NDB23AA001,ДУ,
194,209,превышение момента на открытие,Затвор дисковый 3ТА-0 помимо,N1NDB23AA001,ДУ,
